review,stars
"error 2124-4508?Este código de error indica que la consola Nintendo Switch que estás usando ha sido bloqueada permanentemente para conectarse a Internet debido a un incumplimiento de los acuerdos de usuario.Algungun usuario la ha usado de forma delictiva, la han devuelto y Amazon me la ha colado a mí sin verificarla, como mi hija hasta ahora no la había usado para jugar online, no nos habíamos dado cuenta.",1
"Es increíble que manden un producto sin haber probado que cargue. Estay de acuerdo que es de segunda mano, pero debería de cargar sin ningún fallo. La compra la financie con varias cosas y la consola era un regalo. Ahora ni carga, he tenido que hacer devolución que al ser Sábado hasta el Lunes o martes no me lo recogen. Tengo que esperar que le lleguen y a los diez días el rembolso. Así que me quede sin poder dar el regalo y encima no puedo pedir otra, xq al ser financiada, tengo cumplido el dinero de la financiación, hasta que no lo devuelvan a saber cuando. He querido hacer un buen regalo y me ha salido fatal. NO ENTIENDO COMO NO PRUEBAN ANTES TODO BIEN Y LO MANDAN ASI...NI UNA ESTRELLA SE MERECE...",1
"Compramos la switch como regalo a nuestros hijos para navidad. La consola funcionaba bien, pero en modo inahalambrico, el Joy-con derecho se desconectaba y volvía a conectar de forma intermitente y de vez en cuando se paraba, haciendo imposible jugar con él.Actualicé los firmware de los Joy-cons, como recomienda la web de Nintendo. Aún así el problema persistía.Compré otros Joy-cons originales y funcionaban perfectamente, ahora tenía la certeza que el problema era el mando original, por lo que contacté con Nintendo para abrir una incidencia.Envié el Joy-con defectuoso a Nintendo pero los técnicos consideraron que no tenia ningún problema y los devolvieron.Gravé un vídeo para Nintendo, donde se veía que efectivamente el Joy-con perdía constantemente la sincronización con la Switch a menos de 2 metros de distancia y se paraba. Confiaba que así solucionarían el problema.Al contactar con ellos nuevamente, me pidieron enviar la consola y los dos Joy-cons. Después de 10 días, me dicen que todo está correcto, que no falla nada y que excepcionalmente, me cambian el Joy-con derecho por otro ""RECONDICIONADO"", dicho de otro modo, de segunda mano.Aún no he recibido la consola, estoy a la espera. No se si este Joy-con de segunda mano funcionará, pero desde luego no me esperaba este nivel de servicio.Desconozco si el problema sólo me afecta a mi, o a todas las Switch Oled. Pero en cualquier caso, mi recomendación es que después de comprar la consola, verificar que todo funciona bien y si falla algo, contactar con el vendedor, ya que Nintendo te lo cambiará por otro de segunda mano...",1
"La Nintendo dio fallos a los 6 meses y no se hacen cargo de la reparación, alegan que se mojó, cuando en ningún momento . Excusa para no hacerse cargo de la garantía. Cuidado con este vendedor.",1
"OJO no es compatible con todas las Tvs y no contestan a los mensajes. Acabo de intentar conectar la consola a mi TV Xiaomi MiTV-Mssp3 de 55 pulgadas y no hay manera de que se vea la imagen. He probado los 3 hdmi de la tv con la consola y nada. He probado diferentes configuraciones dentro de la consola y nada tampoco. He comprobado los puertos hdmi con otros dispositivos y funcionan correctamente, tanto con una ps4 pro que tengo conectada y un pc, esto para descartar que pudiera ser un problema de los puertos. También he probado otros cables hdmi con la consola y nada tampoco.He probado en un monitor de asus de 27 pulgadas mx279 y el mismo problema. Sin embargo en la tv de 24 Philips de la Salita si que funciona.Podrías darme una solución para poder jugar en cualquier monitor o tv.Dignaros a contestar.",1
"Compramos hace mes y medio la nintendo, no habíamos tenido ocasión de probar el sensor de movimiento de los joy-con hasta hoy.  Uno de ellos no funciona, he leído que algún otro cliente le ha pasado lo mismo. En amazon sólo me proponen mandarla al servicio de reparación cuando apenas la hemos usado. Nos quedamos todo el verano sin la nintendo....",1
"He comprado una Nintendo switch nueva y me habéis enviado una que se nota que ya había sido abierta su caja y con señales de uso, al final pensé en quedarmela pero al empezar a utilizarla me di cuenta por lo que seguro lo habían devuelto, estás jugando y te cierra los juegos, para colmo la imagen se queda congelada muchas veces y los mandos no responden, vamos que está Nintendo que me habían vendido a precio de nueva es una devolución que habrán hecho, de eso estoy seguroUn poquito más de vergüenza Amazon",1
"Recibí un producto de segunda mano a precio de nuevo. Sin sello, sin funda protectora, etc... no tengo idea si funciona, pero ni siquiera quiero probarlo, lo devolví.. ¿Por que intentar engañar?",1
"No se ha podido cargar el contenido multimedia.
                



Hoy he recibido la Nintendo switch para cogerla esta noche y ponerme a jugar con mi hijo  lo tengo todo preparado y resulta que un mando, el mando izquierdo no sincroniza, a ver pienso que puede ser normal lo he seguido intentando y nada, pero si encima resulta que la caja viene abierta y sin precinto de garantía pues todo encaja. No recomiendo este proveedor es mejor ir al Game o tienda local y comprarla allí. De vergüenza pagar por una cosa para que venga antes y es un regalo de un niño.",1
"Caja sin precintar y consola envuelta en plástico de burbujas, al abrirla me doy cuenta que la pantalla presenta 2 arañazos, la devuelvo al día siguiente y aún estoy esperando la devolución del dinero",1
"Recibo la consola con una pequeña raya en el interior de la pantalla, procedo a su devolución y al mismo tiempo hago pedido de una igual nueva, pues el sistema no me permitía hacer el cambio, dos semanas después recibo un correo de amazon que dice que les he enviado un producto diferente al que yo compré y que lo han destruido y que no me abonan la consola hasta que les envíe el producto comprado, ya he denunciado en consumo.Llevo un montón de años comprando en amazon sin problemas comprando además bastante, pero esto me parece juzgado de guardia.",1
Decepción al recibir un artículo con marcas que no dejan dudas de que el mismo ya ha sido utilizado. Devuelto sin más.,1
"La switch la verdad que es una maravilla, muy bonita y elegante y la pantalla es maravillosa. Si no tienes switch merece la pena gastar un poco más en esta. Si ya la tienes, merece la pena si la usas mucho en modo portátil.El problema ha sido Amazon.Me la enviaron un martes para entrega en sábado, y el sábado no sabían donde estaba.Después de hablar con ellos, me dijeron que llegaba antes del martes siguiente. Ese martes ponía en reparto y a las 2h que el paquete se podía haber perdido.¿Cómo es posible que una empresa que de normal es tan eficiente en las entregas pierda un paquete tan caro? ¿Para esto pago 40€ al año por el prime?Muy descontenta, no pienso volver a usar Amazon para comprar productos tan caros.",1
"No se ha podido cargar el contenido multimedia.
                



La caja venia con 3 o 4 golpes y la nintendo apenas sd escucha que supongo que sera por alguno de los golpes porque apenas se escucha",1
"La consola está genial, yo he hecho el cambio desde la v2 (la normal) y el cambio merece mucho la pena. Es increíble cómo Nintendo ha mejorado un producto que no tenía margen de mejora. Y merece la pena el cambio. Pantalla enorme y exquisita de calidad. A parte del audio que a mí me ha sorprendido. Eso sí, Amazon fatal con el envío, llegó la caja hecha un cristo. Y últimamente estoy notando esto en sus envíos. El trato a los paquetes es de vergüenza. Y como el producto ahora en diciembre 2021 no tiene ningún tipo de descuento, yo recomiendo comprarla en tienda física.",1
"La consola es una maravilla, pero hay que tener cuidado con las unidades defectuosas. Es la segunda que tengo, por mi hija, porque si por mi fuera a Nintendo ni agua. Tienen el peor servicio postventa y técnico que pueda existir. En mi caso se quemo la placa por un defecto de fabricación de Nintendo. A día de hoy aún espero a que me den respuesta. Son unos impresentables, y la atención es nefasta hasta un mono del zoo tendría mejores soluciones que la gente que trabaja allí.",1
"compre esta consola de segunda mano (297€) con el estado muy bueno, en el que especificaba que los joycon tenian arañones del uso pero en ningun momento decia que la pantalla los tuviese, profundamente decepcionado con dicho departamento colandote un producto con un calificacion superior cuando realmente no lo es",1
"No estoy nada contento vino sin mandos, por lo tanto le doy una estrella.",1
Producto defectuoso. Los mandos de la consola estaban mal Una decepción pues era un regalo.,1
"Con Switch ya me hacia una idea de lo que iba a tener, 720p con modo portatil y no esperaba un gran rendimiento, pero la sorpresa es que por ejemplo con Fortnite en portatil y modo TV hay un lag constante que no te deja jugar (he quitado lo del modo ahorro de bateria y tal) y tambien que las texturas se ven bastante mal, y es que encima con el modo TV el mando va con un segundo de retraso y es muy molesto (imaginate ya para jugar online...). Decepción total.",1
Se ha comprado un producto nuevo y el vendedor envía uno usado. La caja está sin precintar y defectuosa por qué se ha utilizado muchas veces. El plástico del consola se ve que no es nuevo tiene muchos usos. Un engaño. Vendedor no es de confianza.,1
"La compramos con toda la ilusión del mundo para los niños el día de reyes, y cuando la pusimos a los minutos, la pantalla se quedaba en blanco y no dejaba hacer nada y así todo el rato .",1
"Se rompe el doc, pido devolución y cada agente me cuenta una historia diferente. No esperéis que siga comprando en Amazon... Productos de tara y de Segundamano camuflados. Por cierto si pides el reemplazo al día siguiente tienes una nueva. Una empresa de 10....",1
